run,freq_hz,temperature_C,G_storage_pa,G_loss_pa,G_abs_pa,tan_delta,force_dyn_N,strain_dyn_pct
tf_015p_high,0.719686,45.96178,2015091.2343507109,329167.6736890937,2041799.216416482,0.1633512508405883,0.9540627928154752,0.15177071428575373
tf_015p_high,1.0,46.01176,2076802.510741989,337689.4687982448,2104077.671085711,0.16260066474861729,0.9738166210337245,0.1503278571428962
tf_015p_high,1.3895,45.998599999999996,2149904.1670160815,344844.65021637175,2177385.0739214607,0.16040001015254196,1.0083052442258895,0.15041142857146764
tf_015p_high,1.9307,45.96948,2214757.8716469817,347083.25984801713,2241789.2896722015,0.15671386217488067,1.0533804075658593,0.1526210714286111
tf_015p_high,2.6827,45.97634,2293781.288480813,355265.5866904245,2321130.379033283,0.1548820667753024,1.075001099608319,0.15042964285718197
tf_015p_high,3.72759,45.990199999999994,2358350.9912977186,365792.08584380965,2386550.4914459484,0.15510502346494529,1.1262717682429484,0.15328392857146841
tf_015p_high,5.17947,46.01092,2438938.434644434,386961.5835449444,2469445.2727536713,0.15865984071113234,1.145944894302714,0.15072607142861058
tf_015p_high,7.19686,45.96682,2524721.8342643017,399293.48367116175,2556101.646357819,0.15815345605687883,1.166562375285419,0.14823607142860995
tf_015p_high,10.0,45.979,2599641.4644376985,426965.62474427256,2634470.6087442026,0.16424019642132653,1.2369477491685439,0.15250428571432534
tf_015p_high,13.895,45.95646,2663503.6543600666,450566.5052295182,2701344.460157603,0.1691630888104681,1.2702505935150676,0.15273321428575395
tf_015p_high,19.307,45.94539999999999,2744449.0901712975,486872.48671810963,2787300.777968739,0.17740263008038562,1.2997253586517776,0.1514578571428965
tf_015p_high,26.827,45.98789,2824734.9533079243,516249.5162220387,2871522.4393061968,0.1827603384938758,1.3422060533159719,0.15182071428575372
tf_015p_high,37.2759,45.956529999999994,2893214.826501348,583840.0587009228,2951535.4049089644,0.2017963040120798,1.4125787748375414,0.1554492857143261
tf_015p_high,51.7947,45.956529999999994,2967536.984099685,631454.4002610149,3033976.0070917592,0.21278737338216883,1.4093229158056544,0.15087678571432492
tf_015p_high,71.9686,45.98824,2924898.4272600156,699620.8409478837,3007407.543196754,0.23919491850637492,1.4704755193733081,0.15881428571432696
tf_015p_high,100.0,45.956039999999994,3092755.5139936735,810952.097539145,3197308.2387910946,0.26221021799811234,1.575488235380763,0.16004964285718445
